"Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A"
"1,Golden State Warriors,W,P,49,9,.845,12.84,117.16,104.34,12.82,12.39,116.78,104.41,12.37"
"2,San Antonio Spurs,W,SW,44,13,.772,8.35,113.02,104.22,8.79,7.86,112.62,104.34,8.29"
"3,Houston Rockets,W,SW,42,18,.700,6.93,115.80,108.95,6.85,6.64,115.95,109.39,6.56"
"4,Cleveland Cavaliers,E,C,40,17,.702,5.14,114.83,109.45,5.38,4.63,114.60,109.73,4.86"
"5,Utah Jazz,W,NW,36,22,.621,4.71,110.24,105.12,5.12,4.42,109.97,105.15,4.82"
"6,Toronto Raptors,E,A,34,24,.586,4.24,114.46,109.94,4.51,3.98,114.30,110.05,4.25"
"7,Los Angeles Clippers,W,P,35,23,.603,3.36,112.16,108.59,3.56,3.58,112.47,108.69,3.78"
"8,Boston Celtics,E,A,37,21,.638,2.53,112.74,110.15,2.59,2.52,113.00,110.42,2.58"
"9,Memphis Grizzlies,W,SW,34,25,.576,1.10,107.77,106.45,1.32,1.66,107.70,105.82,1.88"
"10,Washington Wizards,E,SE,34,22,.607,2.61,111.34,108.57,2.77,1.67,111.16,109.36,1.81"
"11,Oklahoma City Thunder,W,NW,33,25,.569,0.19,107.98,107.82,0.16,0.65,107.94,107.32,0.62"
"12,Charlotte Hornets,E,SE,25,33,.431,0.38,107.99,107.57,0.42,0.42,108.12,107.66,0.46"
"13,Milwaukee Bucks,E,C,25,31,.446,0.02,110.61,110.62,-0.01,-0.33,110.78,111.14,-0.36"
"14,Detroit Pistons,E,C,28,30,.483,-0.33,107.03,107.56,-0.53,-0.22,107.01,107.44,-0.42"
"15,Miami Heat,E,SE,27,32,.458,-0.36,107.01,107.44,-0.43,-0.56,107.20,107.85,-0.65"
"16,Chicago Bulls,E,C,30,29,.508,-0.22,108.39,108.81,-0.42,-0.55,108.19,108.94,-0.75"
"17,Minnesota Timberwolves,W,NW,23,36,.390,-0.85,110.99,111.95,-0.95,-0.66,111.20,111.96,-0.76"
"18,Denver Nuggets,W,NW,26,32,.448,-1.07,112.79,113.97,-1.18,-0.87,113.02,113.98,-0.96"
"19,Indiana Pacers,E,C,30,29,.508,-1.02,108.59,109.59,-1.00,-1.70,108.41,110.11,-1.71"
"20,Dallas Mavericks,W,SW,23,35,.397,-2.21,106.55,108.84,-2.29,-1.65,106.45,108.19,-1.74"
"21,Atlanta Hawks,E,SE,32,26,.552,-1.09,105.57,106.82,-1.26,-1.65,105.30,107.16,-1.86"
"22,Portland Trail Blazers,W,NW,24,33,.421,-2.60,109.77,112.41,-2.65,-1.94,110.05,112.04,-1.98"
"23,Sacramento Kings,W,P,25,34,.424,-2.59,108.47,111.28,-2.81,-2.07,108.64,110.92,-2.28"
"24,New York Knicks,E,A,24,35,.407,-3.25,109.11,112.36,-3.25,-3.43,108.99,112.43,-3.44"
"25,New Orleans Pelicans,W,SW,23,36,.390,-3.76,104.30,108.20,-3.90,-3.49,104.38,107.99,-3.61"
"26,Phoenix Suns,W,P,18,40,.310,-5.48,107.39,112.78,-5.39,-4.80,107.49,112.19,-4.70"
"27,Philadelphia 76ers,E,A,22,36,.379,-5.29,103.32,108.78,-5.46,-5.42,103.23,108.81,-5.58"
"28,Los Angeles Lakers,W,P,19,40,.322,-6.46,106.62,113.31,-6.68,-6.09,106.98,113.28,-6.30"
"29,Orlando Magic,E,SE,22,38,.367,-6.20,103.53,110.01,-6.48,-6.11,103.61,110.00,-6.39"
"30,Brooklyn Nets,E,A,9,49,.155,-9.09,103.60,112.63,-9.02,-8.37,103.51,111.80,-8.29"
