"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"1,Alex Abrines\abrinal01,SG,23,OKC,47,673,10.2,.575,.724,.192,2.0,6.7,4.3,5.0,1.5,0.6,9.0,16.1,,0.8,0.6,1.4,.098,,-0.3,-2.6,-2.9,-0.2"
"2,Quincy Acy\acyqu01,PF,26,TOT,18,182,15.7,.617,.462,.308,7.7,15.5,11.5,1.8,0.8,2.9,8.7,19.5,,0.3,0.1,0.4,.117,,-0.8,-3.1,-3.9,-0.1"
"2,Quincy Acy\acyqu01,PF,26,DAL,6,48,-1.3,.355,.412,.176,4.6,15.4,9.7,0.0,0.0,0.0,9.8,20.1,,-0.2,0.0,-0.1,-0.131,,-10.1,-6.0,-16.2,-0.2"
"2,Quincy Acy\acyqu01,PF,26,BRK,12,134,21.9,.703,.479,.354,8.8,15.5,12.2,2.5,1.1,3.9,8.3,19.3,,0.5,0.1,0.6,.206,,2.5,-2.0,0.4,0.1"
"3,Steven Adams\adamsst01,C,23,OKC,56,1727,17.2,.598,.004,.364,12.5,16.0,14.2,5.8,1.8,2.8,16.0,16.8,,2.6,2.3,4.9,.137,,-0.6,1.4,0.8,1.2"
"4,Arron Afflalo\afflaar01,SG,31,SAC,49,1253,8.3,.548,.386,.216,0.8,7.8,4.3,7.4,0.7,0.5,8.6,13.8,,0.8,0.2,1.0,.040,,-1.8,-2.1,-3.8,-0.6"
"5,Alexis Ajinca\ajincal01,C,28,NOP,23,350,11.0,.497,.031,.247,7.7,23.7,15.6,3.0,1.7,4.0,16.3,16.3,,-0.2,0.6,0.3,.048,,-6.4,1.6,-4.8,-0.2"
"6,Cole Aldrich\aldrico01,C,28,MIN,52,475,13.2,.553,.000,.284,11.3,24.3,17.7,7.2,2.5,3.8,13.5,9.0,,0.7,0.7,1.3,.134,,-1.5,3.1,1.5,0.4"
"7,LaMarcus Aldridge\aldrila01,PF,31,SAS,52,1684,18.7,.540,.053,.305,8.3,17.3,12.9,10.5,0.9,2.9,8.3,24.6,,2.9,2.6,5.5,.156,,-0.1,1.1,1.0,1.3"
"8,Lavoy Allen\allenla01,PF,27,IND,44,625,9.9,.481,.009,.171,10.1,14.1,12.1,8.8,1.2,2.1,14.3,10.5,,0.4,0.5,0.9,.067,,-2.4,1.2,-1.3,0.1"
"9,Tony Allen\allento01,SG,35,MEM,50,1391,13.1,.491,.075,.245,9.3,14.0,11.5,7.3,3.4,1.6,14.1,18.0,,-0.2,2.4,2.2,.077,,-2.3,2.9,0.7,0.9"
"10,Al-Farouq Aminu\aminual01,SF,26,POR,37,1075,10.5,.476,.466,.228,4.4,23.9,14.0,10.1,1.7,1.8,14.8,15.5,,-0.4,1.1,0.7,.031,,-2.7,1.2,-1.5,0.1"
"11,Chris Andersen\anderch01,C,38,CLE,12,114,11.6,.497,.136,.636,8.9,20.6,15.0,5.9,2.2,4.9,15.1,12.8,,0.1,0.2,0.3,.108,,-3.7,3.2,-0.4,0.0"
"12,Alan Anderson\anderal01,SF,34,LAC,23,266,4.6,.472,.557,.171,1.3,8.1,4.8,5.7,0.6,0.0,8.5,13.8,,-0.1,0.1,0.0,.007,,-2.9,-2.1,-5.1,-0.2"
"13,Justin Anderson\anderju01,SF,23,TOT,52,714,14.8,.521,.444,.318,6.1,19.1,12.3,7.5,2.1,2.0,11.2,23.6,,0.1,0.9,1.1,.072,,-1.8,-0.1,-2.0,0.0"
"13,Justin Anderson\anderju01,SF,23,DAL,51,710,15.0,.523,.442,.319,6.1,19.1,12.3,7.6,2.1,2.0,11.3,23.7,,0.2,0.9,1.1,.073,,-1.8,-0.1,-1.9,0.0"
"13,Justin Anderson\anderju01,G,23,PHI,1,4,-11.3,.000,1.000,.000,0.0,27.5,13.7,0.0,0.0,0.0,0.0,10.9,,0.0,0.0,0.0,-0.222,,-14.3,-4.9,-19.2,0.0"
"14,Kyle Anderson\anderky01,SG,23,SAS,52,673,11.8,.523,.194,.355,3.5,18.5,11.2,11.0,2.5,2.4,15.8,11.4,,0.3,1.3,1.6,.118,,-2.4,3.7,1.3,0.6"
"15,Ryan Anderson\anderry01,PF,28,HOU,57,1743,13.6,.586,.635,.214,6.0,12.0,9.0,4.7,0.8,0.6,7.0,17.9,,3.3,1.1,4.4,.122,,1.8,-2.3,-0.6,0.6"
"16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,55,1948,26.9,.608,.161,.464,6.3,21.5,14.1,26.3,2.6,4.9,13.6,28.4,,5.9,3.0,8.8,.218,,4.9,3.5,8.4,5.1"
"17,Carmelo Anthony\anthoca01,SF,32,NYK,58,1983,19.2,.545,.299,.265,2.7,16.1,9.4,15.0,1.2,1.1,8.9,29.7,,3.4,1.1,4.4,.108,,2.3,-2.3,0.0,1.0"
"18,Joel Anthony\anthojo01,C,34,SAS,9,56,14.4,.676,.000,.250,12.5,19.7,16.2,2.4,0.9,2.9,10.1,8.0,,0.1,0.1,0.2,.190,,-0.8,1.1,0.4,0.0"
"19,Trevor Ariza\arizatr01,SF,31,HOU,60,2068,12.6,.548,.707,.139,2.3,15.6,8.9,9.1,2.7,0.6,7.9,14.3,,2.2,2.6,4.8,.111,,1.0,1.1,2.1,2.1"
"20,Darrell Arthur\arthuda01,PF,28,DEN,30,486,13.5,.612,.542,.060,4.8,14.6,9.6,10.0,1.1,2.5,14.8,17.6,,0.6,0.2,0.9,.087,,1.0,-1.1,-0.1,0.2"
"21,Omer Asik\asikom01,C,30,NOP,31,482,9.8,.517,.000,.600,10.4,25.4,17.8,4.3,0.5,1.7,14.6,8.8,,0.4,0.6,1.0,.096,,-4.4,1.0,-3.5,-0.2"
"22,D.J. Augustin\augusdj01,PG,29,ORL,59,1224,11.8,.537,.543,.305,0.8,7.0,3.8,21.8,1.0,0.1,12.8,19.2,,1.0,0.5,1.5,.058,,-0.2,-3.3,-3.5,-0.5"
"23,Luke Babbitt\babbilu01,SF,27,MIA,50,781,8.1,.542,.705,.071,1.8,13.3,7.5,4.4,1.0,0.8,7.7,13.3,,0.4,0.8,1.2,.073,,-1.5,-0.8,-2.3,-0.1"
"24,Ron Baker\bakerro01,SG,23,NYK,29,330,8.4,.467,.451,.242,1.9,11.7,6.8,14.2,2.4,0.7,16.6,15.7,,-0.2,0.2,0.0,.006,,-3.1,-0.9,-4.0,-0.2"
"25,Wade Baldwin\baldwwa01,PG,20,MEM,24,309,6.8,.413,.214,.381,2.5,9.9,6.1,24.0,2.3,1.9,24.0,18.9,,-0.6,0.4,-0.2,-0.030,,-6.2,0.7,-5.4,-0.3"
"26,Leandro Barbosa\barbole01,SG,34,PHO,54,712,12.6,.511,.236,.090,1.7,10.8,6.1,14.5,1.6,0.8,8.3,19.3,,0.5,0.3,0.8,.055,,-1.4,-1.9,-3.3,-0.2"
"27,J.J. Barea\bareajo01,PG,32,DAL,18,444,17.3,.530,.385,.172,1.3,13.0,6.8,35.2,1.1,0.2,13.1,25.3,,0.5,0.3,0.8,.089,,1.4,-1.8,-0.4,0.2"
"28,Harrison Barnes\barneha02,PF,24,DAL,58,2078,17.3,.541,.175,.196,4.0,13.6,8.6,8.0,1.3,0.6,6.7,26.2,,2.0,1.7,3.7,.086,,-0.4,-1.2,-1.6,0.2"
